Scene,Dynamic Range Original,Dynamic Range New,PSNR Underexposed,PSNR Overexposed
C40,20.267975,17.550814,5.793231597363256,11.266240899146547
C41,17.996151,9.680447,4.191253966945126,13.216891046384646
C42,8.178262,9.904007,10.31679494214904,13.967386120258531
C43,24.301859,13.045693,5.627789800992863,11.024727548595013
C44,7.1692004,8.983185,11.815696822488292,14.84860057146581
C45,8.394124,11.742678,9.289204021578565,14.679317727492144
C46,14.07141,10.033801,15.044716525298746,17.068930996286394
