Scene,DR_Orig,DR_New,PSNR_U,PSNR_O,LPIPS_U,LPIPS_O
C40,20.267975,10.981064,25.057918928350563,13.768488894835597,0.14286933839321136,0.1990068256855011
C41,17.996151,8.520527,21.36275007411527,24.84281573078928,0.14620573818683624,0.11374428868293762
C42,8.178262,7.3534064,16.925196901740293,21.64063789737105,0.2178938388824463,0.11649072915315628
C43,24.301859,8.606697,24.56180780744122,21.16696861291906,0.11939683556556702,0.10755975544452667
C44,7.1692004,7.314454,17.096474976694804,24.29292945216295,0.16822373867034912,0.1232495903968811
C45,8.394124,8.160699,21.53047789149831,23.344759774371497,0.13667872548103333,0.11393368244171143
C46,14.07141,8.308774,24.57238516852696,22.6358417444947,0.1401209831237793,0.22517552971839905
